wavelength,spectrum,a_nw,bb_nw,Rrs,aw,bbw,a,bb
442.5,20,4.85E-01,9.67E-03,0.001058062,6.93E-03,2.45E-03,4.91E-01,1.21E-02
442.5,21,1.07E-01,7.85E-03,0.004274902,6.93E-03,2.45E-03,1.14E-01,1.03E-02
442.5,22,4.28E-01,5.23E-02,0.006423494,6.93E-03,2.45E-03,4.35E-01,5.48E-02
442.5,23,1.24E+00,4.12E-02,0.001522317,6.93E-03,2.45E-03,1.24E+00,4.36E-02
442.5,24,2.11E-01,1.77E-02,0.004451564,6.93E-03,2.45E-03,2.18E-01,2.01E-02
442.5,25,2.12E-01,8.32E-03,0.002235649,6.93E-03,2.45E-03,2.19E-01,1.08E-02
442.5,26,3.37E-01,4.55E-02,0.007150832,6.93E-03,2.45E-03,3.44E-01,4.79E-02
442.5,27,5.15E-01,6.35E-02,0.006439409,6.93E-03,2.45E-03,5.22E-01,6.60E-02
442.5,28,2.24E-01,1.82E-02,0.004265352,6.93E-03,2.45E-03,2.31E-01,2.06E-02
442.5,29,3.98E-01,1.49E-02,0.001904766,6.93E-03,2.45E-03,4.05E-01,1.73E-02
442.5,30,1.56E-01,7.74E-03,0.002869882,6.93E-03,2.45E-03,1.63E-01,1.02E-02
442.5,31,1.43E-01,4.78E-03,0.002182014,6.93E-03,2.45E-03,1.50E-01,7.23E-03
442.5,32,4.40E-01,1.38E-02,0.001610011,6.93E-03,2.45E-03,4.47E-01,1.63E-02
442.5,33,3.39E-01,2.77E-02,0.004165085,6.93E-03,2.45E-03,3.46E-01,3.01E-02
442.5,34,4.82E+00,9.64E-01,0.010898931,6.93E-03,2.45E-03,4.83E+00,9.67E-01
442.5,35,2.44E-01,1.20E-02,0.00262351,6.93E-03,2.45E-03,2.51E-01,1.44E-02
442.5,36,3.77E-01,1.87E-02,0.002479157,6.93E-03,2.45E-03,3.84E-01,2.11E-02
442.5,37,3.01E-01,1.41E-02,0.002461968,6.93E-03,2.45E-03,3.08E-01,1.65E-02
442.5,38,2.24E-01,1.60E-02,0.003762423,6.93E-03,2.45E-03,2.30E-01,1.84E-02
442.5,39,6.09E-01,7.99E-02,0.006835705,6.93E-03,2.45E-03,6.16E-01,8.23E-02
442.5,40,5.56E-01,2.21E-02,0.001923706,6.93E-03,2.45E-03,5.63E-01,2.45E-02
442.5,41,7.22E-01,1.56E-02,0.001041669,6.93E-03,2.45E-03,7.29E-01,1.80E-02
442.5,42,3.01E-01,2.20E-02,0.003757648,6.93E-03,2.45E-03,3.08E-01,2.44E-02
442.5,43,3.76E-01,3.68E-02,0.00504362,6.93E-03,2.45E-03,3.83E-01,3.92E-02
442.5,44,1.37E+00,1.19E-02,0.000431151,6.93E-03,2.45E-03,1.37E+00,1.44E-02
442.5,45,3.66E-01,2.66E-02,0.00368762,6.93E-03,2.45E-03,3.73E-01,2.91E-02
442.5,46,1.83E-01,1.89E-02,0.005537,6.93E-03,2.45E-03,1.90E-01,2.14E-02
442.5,47,1.62E+00,2.96E-01,0.009873973,6.93E-03,2.45E-03,1.63E+00,2.98E-01
442.5,48,1.78E+00,2.50E-01,0.007407071,6.93E-03,2.45E-03,1.78E+00,2.53E-01
442.5,49,2.81E-01,2.33E-02,0.004297183,6.93E-03,2.45E-03,2.88E-01,2.57E-02
442.5,50,3.86E-01,2.52E-02,0.003289574,6.93E-03,2.45E-03,3.93E-01,2.76E-02
442.5,51,1.74E+00,1.15E-02,0.00033152,6.93E-03,2.45E-03,1.75E+00,1.40E-02
442.5,52,7.89E-01,1.32E-01,0.009001804,6.93E-03,2.45E-03,7.96E-01,1.35E-01
442.5,53,3.00E-01,1.12E-02,0.001990551,6.93E-03,2.45E-03,3.07E-01,1.37E-02
442.5,54,3.37E-01,6.62E-03,0.001159603,6.93E-03,2.45E-03,3.43E-01,9.07E-03
442.5,55,9.96E-01,7.88E-02,0.003912029,6.93E-03,2.45E-03,1.00E+00,8.12E-02
442.5,56,3.66E-01,8.47E-03,0.001289951,6.93E-03,2.45E-03,3.73E-01,1.09E-02
442.5,57,1.08E-01,2.49E-03,0.001980842,6.93E-03,2.45E-03,1.15E-01,4.94E-03
442.5,58,1.31E-01,1.52E-02,0.00633755,6.93E-03,2.45E-03,1.38E-01,1.77E-02
442.5,59,6.58E-02,4.14E-03,0.004276493,6.93E-03,2.45E-03,7.27E-02,6.59E-03
442.5,60,1.23E-01,6.32E-03,0.003105909,6.93E-03,2.45E-03,1.30E-01,8.77E-03
442.5,61,2.24E-01,1.47E-02,0.003464803,6.93E-03,2.45E-03,2.30E-01,1.71E-02
442.5,62,3.98E-01,3.82E-02,0.004932212,6.93E-03,2.45E-03,4.05E-01,4.06E-02
442.5,63,3.00E-01,4.67E-03,0.001021934,6.93E-03,2.45E-03,3.07E-01,7.12E-03
442.5,64,3.40E-01,1.12E-02,0.001726672,6.93E-03,2.45E-03,3.47E-01,1.37E-02
442.5,65,1.96E+00,2.78E-02,0.000629617,6.93E-03,2.45E-03,1.96E+00,3.03E-02
442.5,66,1.91E+00,3.39E-02,0.000788931,6.93E-03,2.45E-03,1.92E+00,3.64E-02
442.5,67,1.06E+00,2.32E-02,0.001021138,6.93E-03,2.45E-03,1.07E+00,2.56E-02
442.5,68,1.44E-01,7.93E-03,0.003223047,6.93E-03,2.45E-03,1.51E-01,1.04E-02
442.5,69,6.03E-01,1.53E-02,0.001250799,6.93E-03,2.45E-03,6.10E-01,1.77E-02
442.5,70,1.58E+00,6.81E-02,0.001972566,6.93E-03,2.45E-03,1.59E+00,7.06E-02
442.5,71,6.39E-01,1.95E-02,0.001476958,6.93E-03,2.45E-03,6.46E-01,2.20E-02
442.5,72,2.18E-01,9.85E-03,0.002467538,6.93E-03,2.45E-03,2.25E-01,1.23E-02
442.5,73,4.46E-01,8.70E-02,0.010633142,6.93E-03,2.45E-03,4.53E-01,8.94E-02
442.5,74,3.86E+00,1.62E-01,0.001846834,6.93E-03,2.45E-03,3.87E+00,1.65E-01
442.5,75,7.05E-01,1.08E-01,0.008172606,6.93E-03,2.45E-03,7.12E-01,1.11E-01
442.5,76,1.72E-01,1.77E-02,0.005548141,6.93E-03,2.45E-03,1.79E-01,2.01E-02
442.5,77,2.41E-01,3.44E-02,0.007628296,6.93E-03,2.45E-03,2.48E-01,3.68E-02
442.5,78,1.74E+00,1.50E-01,0.004247845,6.93E-03,2.45E-03,1.74E+00,1.52E-01
442.5,79,4.35E-01,2.91E-02,0.003332705,6.93E-03,2.45E-03,4.41E-01,3.16E-02
442.5,80,6.32E-01,7.34E-02,0.005987409,6.93E-03,2.45E-03,6.39E-01,7.58E-02
442.5,81,1.28E-01,4.70E-03,0.002432524,6.93E-03,2.45E-03,1.35E-01,7.15E-03
442.5,82,1.11E+00,7.24E-02,0.003116095,6.93E-03,2.45E-03,1.12E+00,7.49E-02
442.5,83,1.73E-01,1.14E-02,0.003593719,6.93E-03,2.45E-03,1.80E-01,1.38E-02
442.5,84,2.66E-01,1.91E-02,0.003706719,6.93E-03,2.45E-03,2.73E-01,2.15E-02
442.5,85,4.40E-01,2.97E-02,0.003402733,6.93E-03,2.45E-03,4.47E-01,3.21E-02
442.5,86,1.20E-01,1.83E-03,0.001566085,6.93E-03,2.45E-03,1.27E-01,4.28E-03
442.5,87,4.86E-01,3.31E-02,0.003350212,6.93E-03,2.45E-03,4.93E-01,3.55E-02
442.5,88,4.85E-01,4.68E-02,0.004897198,6.93E-03,2.45E-03,4.92E-01,4.92E-02
442.5,89,8.58E-01,1.47E-01,0.009230987,6.93E-03,2.45E-03,8.64E-01,1.50E-01
442.5,90,3.66E-01,3.87E-02,0.005497212,6.93E-03,2.45E-03,3.73E-01,4.12E-02
442.5,91,6.37E-01,3.83E-02,0.002931634,6.93E-03,2.45E-03,6.44E-01,4.08E-02
442.5,92,4.64E-02,3.92E-03,0.005708888,6.93E-03,2.45E-03,5.33E-02,6.37E-03
442.5,93,1.24E-01,5.83E-03,0.002931157,6.93E-03,2.45E-03,1.31E-01,8.29E-03
442.5,94,5.12E-01,6.11E-02,0.006162479,6.93E-03,2.45E-03,5.19E-01,6.36E-02
442.5,95,4.76E-01,2.99E-02,0.003086492,6.93E-03,2.45E-03,4.83E-01,3.23E-02
442.5,96,1.47E+00,2.67E-02,0.000824582,6.93E-03,2.45E-03,1.48E+00,2.91E-02
442.5,97,6.53E-01,3.34E-02,0.002480111,6.93E-03,2.45E-03,6.60E-01,3.59E-02
442.5,98,1.41E-01,3.58E-03,0.00186084,6.93E-03,2.45E-03,1.48E-01,6.04E-03
442.5,99,6.69E-02,4.50E-03,0.004421324,6.93E-03,2.45E-03,7.38E-02,6.95E-03
442.5,100,1.86E+00,3.33E-01,0.009708452,6.93E-03,2.45E-03,1.86E+00,3.35E-01
442.5,101,2.33E-01,1.96E-02,0.004438831,6.93E-03,2.45E-03,2.40E-01,2.20E-02
442.5,102,1.28E-01,9.19E-03,0.004110972,6.93E-03,2.45E-03,1.35E-01,1.16E-02
442.5,103,1.62E-01,1.54E-02,0.005191634,6.93E-03,2.45E-03,1.69E-01,1.79E-02
442.5,104,8.05E-01,1.97E-02,0.001161194,6.93E-03,2.45E-03,8.12E-01,2.22E-02
442.5,105,1.42E+00,3.04E-02,0.000964001,6.93E-03,2.45E-03,1.42E+00,3.29E-02
442.5,106,6.14E-02,2.69E-03,0.003514141,6.93E-03,2.45E-03,6.83E-02,5.14E-03
442.5,107,2.07E-01,1.07E-02,0.002845213,6.93E-03,2.45E-03,2.14E-01,1.32E-02
442.5,108,2.29E-01,1.31E-02,0.003109888,6.93E-03,2.45E-03,2.36E-01,1.56E-02
442.5,109,1.88E-01,5.52E-03,0.001854473,6.93E-03,2.45E-03,1.95E-01,7.97E-03
442.5,110,8.73E-02,4.00E-03,0.003184054,6.93E-03,2.45E-03,9.43E-02,6.45E-03
442.5,111,2.61E-01,2.05E-02,0.004168268,6.93E-03,2.45E-03,2.68E-01,2.30E-02
442.5,112,3.59E-01,7.67E-03,0.001217376,6.93E-03,2.45E-03,3.66E-01,1.01E-02
442.5,113,4.60E-01,2.26E-02,0.00243523,6.93E-03,2.45E-03,4.66E-01,2.51E-02
442.5,114,2.41E-01,1.09E-02,0.002438413,6.93E-03,2.45E-03,2.48E-01,1.34E-02
442.5,115,8.10E-02,5.58E-03,0.004290817,6.93E-03,2.45E-03,8.79E-02,8.03E-03
442.5,116,3.09E-01,1.98E-02,0.00326395,6.93E-03,2.45E-03,3.16E-01,2.22E-02
442.5,117,8.37E-02,5.02E-03,0.003865874,6.93E-03,2.45E-03,9.06E-02,7.47E-03
442.5,118,1.53E+00,2.52E-01,0.008842649,6.93E-03,2.45E-03,1.54E+00,2.55E-01
442.5,119,1.10E+00,1.03E-01,0.004747592,6.93E-03,2.45E-03,1.10E+00,1.06E-01
442.5,120,5.09E-01,4.13E-02,0.004053676,6.93E-03,2.45E-03,5.16E-01,4.37E-02
442.5,121,1.29E+01,2.81E+00,0.011985959,6.93E-03,2.45E-03,1.29E+01,2.82E+00
442.5,122,8.09E-01,2.56E-02,0.001505765,6.93E-03,2.45E-03,8.15E-01,2.81E-02
442.5,123,1.77E-01,1.09E-02,0.003418648,6.93E-03,2.45E-03,1.84E-01,1.33E-02
442.5,124,2.25E-01,1.58E-02,0.003716268,6.93E-03,2.45E-03,2.32E-01,1.82E-02
442.5,125,1.81E+00,2.97E-02,0.000734341,6.93E-03,2.45E-03,1.81E+00,3.21E-02
442.5,126,5.10E-01,5.92E-02,0.006000141,6.93E-03,2.45E-03,5.17E-01,6.16E-02
442.5,127,2.50E-01,2.93E-02,0.006254789,6.93E-03,2.45E-03,2.57E-01,3.18E-02
442.5,128,3.18E-01,2.52E-02,0.004069592,6.93E-03,2.45E-03,3.25E-01,2.77E-02
442.5,129,2.90E-01,7.07E-03,0.001416797,6.93E-03,2.45E-03,2.97E-01,9.52E-03
442.5,130,7.21E-01,6.60E-02,0.004593212,6.93E-03,2.45E-03,7.28E-01,6.85E-02
442.5,131,8.65E-02,2.87E-03,0.002635606,6.93E-03,2.45E-03,9.34E-02,5.32E-03
442.5,132,9.14E-02,5.10E-03,0.003561888,6.93E-03,2.45E-03,9.84E-02,7.56E-03
442.5,133,5.10E-01,4.95E-02,0.004935395,6.93E-03,2.45E-03,5.16E-01,5.19E-02
442.5,134,2.52E-01,1.48E-02,0.003058003,6.93E-03,2.45E-03,2.59E-01,1.72E-02
442.5,135,1.04E+00,1.12E-01,0.005462198,6.93E-03,2.45E-03,1.05E+00,1.14E-01
442.5,136,1.64E-01,1.25E-02,0.004168268,6.93E-03,2.45E-03,1.71E-01,1.50E-02
442.5,137,4.66E-01,3.10E-02,0.003300555,6.93E-03,2.45E-03,4.72E-01,3.34E-02
442.5,138,1.53E+00,1.12E-01,0.003471169,6.93E-03,2.45E-03,1.54E+00,1.14E-01
442.5,139,5.87E-01,3.73E-02,0.003174982,6.93E-03,2.45E-03,5.94E-01,3.98E-02
442.5,140,8.78E-01,4.65E-02,0.002507486,6.93E-03,2.45E-03,8.84E-01,4.90E-02
442.5,141,2.74E-01,2.35E-02,0.00447862,6.93E-03,2.45E-03,2.81E-01,2.60E-02
442.5,142,1.48E-01,9.76E-03,0.003725817,6.93E-03,2.45E-03,1.55E-01,1.22E-02
442.5,143,1.86E-01,8.60E-03,0.002624942,6.93E-03,2.45E-03,1.93E-01,1.11E-02
442.5,144,3.43E-01,1.02E-02,0.001601895,6.93E-03,2.45E-03,3.50E-01,1.26E-02
442.5,145,2.74E-01,2.10E-02,0.003947043,6.93E-03,2.45E-03,2.81E-01,2.35E-02
442.5,146,8.21E-01,1.17E-01,0.00752962,6.93E-03,2.45E-03,8.28E-01,1.19E-01
442.5,147,1.10E+00,1.61E-01,0.007741296,6.93E-03,2.45E-03,1.10E+00,1.63E-01
442.5,148,6.13E-01,2.51E-02,0.001976704,6.93E-03,2.45E-03,6.19E-01,2.75E-02
442.5,149,2.63E-01,1.24E-02,0.002486955,6.93E-03,2.45E-03,2.70E-01,1.48E-02
442.5,150,4.78E-01,3.85E-02,0.004032986,6.93E-03,2.45E-03,4.85E-01,4.09E-02
442.5,151,1.01E-01,1.01E-02,0.005683423,6.93E-03,2.45E-03,1.08E-01,1.26E-02
442.5,152,4.12E-01,2.44E-02,0.002965852,6.93E-03,2.45E-03,4.19E-01,2.69E-02
442.5,153,4.31E-01,5.07E-02,0.006218184,6.93E-03,2.45E-03,4.37E-01,5.31E-02
442.5,154,3.12E-01,2.46E-02,0.004112564,6.93E-03,2.45E-03,3.19E-01,2.71E-02
442.5,155,8.43E-01,5.37E-02,0.003099861,6.93E-03,2.45E-03,8.50E-01,5.62E-02
442.5,156,7.82E-02,1.23E-03,0.002046892,6.93E-03,2.45E-03,8.51E-02,3.68E-03
442.5,157,1.33E-01,2.08E-03,0.001499876,6.93E-03,2.45E-03,1.40E-01,4.53E-03
442.5,158,1.42E-01,7.80E-03,0.00317912,6.93E-03,2.45E-03,1.49E-01,1.02E-02
442.5,159,8.07E-02,9.98E-03,0.007074437,6.93E-03,2.45E-03,8.76E-02,1.24E-02
442.5,160,2.30E-01,5.12E-03,0.001413137,6.93E-03,2.45E-03,2.37E-01,7.57E-03
442.5,161,6.14E-02,4.57E-03,0.004873324,6.93E-03,2.45E-03,6.83E-02,7.02E-03
442.5,162,3.41E-01,1.62E-02,0.002457352,6.93E-03,2.45E-03,3.48E-01,1.87E-02
442.5,163,1.48E-01,6.32E-03,0.002581175,6.93E-03,2.45E-03,1.55E-01,8.77E-03
442.5,164,2.89E-01,3.43E-02,0.006277071,6.93E-03,2.45E-03,2.96E-01,3.68E-02
442.5,165,3.76E+00,1.71E-01,0.002056282,6.93E-03,2.45E-03,3.77E+00,1.74E-01
442.5,166,2.95E-01,6.88E-03,0.001370961,6.93E-03,2.45E-03,3.02E-01,9.33E-03
442.5,167,6.56E-02,4.23E-03,0.004322648,6.93E-03,2.45E-03,7.25E-02,6.68E-03
442.5,168,3.53E-01,2.27E-02,0.003244214,6.93E-03,2.45E-03,3.60E-01,2.52E-02
442.5,169,1.17E-01,4.84E-03,0.002683989,6.93E-03,2.45E-03,1.24E-01,7.30E-03
442.5,170,3.23E-01,5.48E-03,0.001054083,6.93E-03,2.45E-03,3.30E-01,7.93E-03
442.5,171,1.70E-01,6.59E-03,0.002314431,6.93E-03,2.45E-03,1.77E-01,9.05E-03
442.5,172,1.32E-01,8.81E-03,0.003822902,6.93E-03,2.45E-03,1.39E-01,1.13E-02
442.5,173,1.57E-01,8.96E-03,0.003209041,6.93E-03,2.45E-03,1.64E-01,1.14E-02
442.5,174,1.23E-01,2.81E-03,0.001848266,6.93E-03,2.45E-03,1.30E-01,5.26E-03
442.5,175,1.55E-01,9.06E-03,0.003315197,6.93E-03,2.45E-03,1.62E-01,1.15E-02
442.5,176,2.24E-01,1.28E-02,0.003061027,6.93E-03,2.45E-03,2.31E-01,1.53E-02
442.5,177,8.53E-01,8.35E-02,0.004898789,6.93E-03,2.45E-03,8.60E-01,8.59E-02
442.5,178,2.76E+00,3.20E-01,0.005890324,6.93E-03,2.45E-03,2.77E+00,3.23E-01
442.5,179,9.30E-01,7.07E-02,0.003754465,6.93E-03,2.45E-03,9.37E-01,7.31E-02
442.5,180,6.87E-02,5.18E-03,0.004800113,6.93E-03,2.45E-03,7.56E-02,7.63E-03
442.5,181,4.33E-01,4.58E-02,0.005460606,6.93E-03,2.45E-03,4.39E-01,4.83E-02
442.5,182,3.17E-01,6.36E-03,0.001200028,6.93E-03,2.45E-03,3.24E-01,8.82E-03
442.5,183,3.89E-01,5.62E-02,0.007663311,6.93E-03,2.45E-03,3.96E-01,5.87E-02
442.5,184,7.46E-02,2.96E-03,0.003085219,6.93E-03,2.45E-03,8.15E-02,5.41E-03
442.5,185,1.68E-01,1.20E-02,0.003894521,6.93E-03,2.45E-03,1.74E-01,1.44E-02
442.5,186,1.12E+00,8.95E-02,0.003980465,6.93E-03,2.45E-03,1.12E+00,9.19E-02
442.5,187,8.03E-01,6.84E-02,0.004225564,6.93E-03,2.45E-03,8.10E-01,7.08E-02
442.5,188,2.03E-01,2.11E-02,0.005544958,6.93E-03,2.45E-03,2.10E-01,2.36E-02
442.5,189,5.70E-01,7.16E-02,0.006581057,6.93E-03,2.45E-03,5.77E-01,7.40E-02
442.5,190,1.74E-01,9.48E-03,0.003068189,6.93E-03,2.45E-03,1.80E-01,1.19E-02
442.5,191,2.59E-01,7.83E-03,0.001717918,6.93E-03,2.45E-03,2.66E-01,1.03E-02
442.5,192,4.23E-01,5.07E-02,0.006227733,6.93E-03,2.45E-03,4.30E-01,5.32E-02
442.5,193,7.21E-01,1.04E-01,0.007676043,6.93E-03,2.45E-03,7.28E-01,1.07E-01
442.5,194,9.13E-02,2.78E-03,0.002466106,6.93E-03,2.45E-03,9.82E-02,5.23E-03
442.5,195,2.84E-01,3.63E-02,0.00678955,6.93E-03,2.45E-03,2.91E-01,3.88E-02
442.5,196,1.15E-01,5.14E-03,0.002869723,6.93E-03,2.45E-03,1.22E-01,7.60E-03
442.5,197,3.10E-01,1.96E-02,0.003218113,6.93E-03,2.45E-03,3.17E-01,2.21E-02
442.5,198,9.45E-02,9.49E-03,0.005748677,6.93E-03,2.45E-03,1.01E-01,1.19E-02
442.5,199,1.03E-01,6.42E-03,0.003775155,6.93E-03,2.45E-03,1.10E-01,8.87E-03
442.5,200,1.72E+00,2.78E-01,0.008675536,6.93E-03,2.45E-03,1.72E+00,2.81E-01
442.5,201,3.64E+00,6.42E-02,0.000748028,6.93E-03,2.45E-03,3.65E+00,6.66E-02
442.5,202,1.67E-01,2.17E-02,0.007034648,6.93E-03,2.45E-03,1.74E-01,2.42E-02
442.5,203,2.87E-01,2.01E-02,0.003633507,6.93E-03,2.45E-03,2.93E-01,2.25E-02
442.5,204,7.42E-02,2.88E-03,0.003043679,6.93E-03,2.45E-03,8.12E-02,5.33E-03
442.5,205,4.25E-01,6.24E-02,0.007769944,6.93E-03,2.45E-03,4.32E-01,6.48E-02
442.5,206,4.63E-01,1.65E-02,0.00179479,6.93E-03,2.45E-03,4.70E-01,1.89E-02
442.5,207,6.80E-01,1.05E-01,0.008245818,6.93E-03,2.45E-03,6.86E-01,1.08E-01
442.5,208,3.31E-01,2.14E-02,0.003302306,6.93E-03,2.45E-03,3.38E-01,2.39E-02
442.5,209,5.54E-01,9.66E-02,0.009410832,6.93E-03,2.45E-03,5.61E-01,9.91E-02
442.5,210,3.71E-02,3.89E-03,0.006924832,6.93E-03,2.45E-03,4.41E-02,6.34E-03
442.5,211,4.72E-02,2.18E-03,0.004010705,6.93E-03,2.45E-03,5.42E-02,4.63E-03
442.5,212,2.64E-01,2.19E-02,0.004279676,6.93E-03,2.45E-03,2.71E-01,2.44E-02
442.5,213,1.38E+00,6.93E-02,0.002341488,6.93E-03,2.45E-03,1.39E+00,7.17E-02
442.5,214,1.52E-01,2.13E-02,0.007634663,6.93E-03,2.45E-03,1.59E-01,2.37E-02
442.5,215,1.84E-01,3.80E-03,0.001476321,6.93E-03,2.45E-03,1.91E-01,6.25E-03
442.5,216,7.52E-01,1.10E-01,0.007722198,6.93E-03,2.45E-03,7.59E-01,1.12E-01
442.5,217,5.75E-01,3.66E-02,0.003132169,6.93E-03,2.45E-03,5.82E-01,3.90E-02
442.5,218,1.78E-01,1.41E-02,0.004235113,6.93E-03,2.45E-03,1.85E-01,1.65E-02
442.5,219,9.83E-01,1.63E-01,0.008893578,6.93E-03,2.45E-03,9.90E-01,1.66E-01
442.5,220,3.84E-02,2.21E-03,0.004828761,6.93E-03,2.45E-03,4.53E-02,4.66E-03
442.5,221,1.20E-01,1.10E-02,0.005201184,6.93E-03,2.45E-03,1.27E-01,1.35E-02
442.5,222,7.60E-01,7.65E-02,0.005096141,6.93E-03,2.45E-03,7.67E-01,7.89E-02
442.5,223,2.83E-01,2.26E-02,0.004125296,6.93E-03,2.45E-03,2.90E-01,2.50E-02
442.5,224,3.87E-01,3.79E-02,0.005080226,6.93E-03,2.45E-03,3.94E-01,4.03E-02
442.5,225,6.79E-01,1.44E-02,0.001054401,6.93E-03,2.45E-03,6.85E-01,1.68E-02
442.5,226,1.34E+00,1.17E-01,0.00427331,6.93E-03,2.45E-03,1.34E+00,1.19E-01
442.5,227,7.48E-01,1.38E-01,0.009999705,6.93E-03,2.45E-03,7.55E-01,1.40E-01
442.5,228,1.45E-01,2.68E-03,0.001545235,6.93E-03,2.45E-03,1.52E-01,5.14E-03
442.5,229,6.07E-02,7.30E-03,0.007114226,6.93E-03,2.45E-03,6.76E-02,9.75E-03
442.5,230,4.32E-01,3.10E-02,0.003622367,6.93E-03,2.45E-03,4.39E-01,3.34E-02
442.5,231,1.59E-01,4.38E-03,0.001872458,6.93E-03,2.45E-03,1.65E-01,6.84E-03
442.5,232,2.98E-01,4.21E-02,0.007590099,6.93E-03,2.45E-03,3.05E-01,4.45E-02
442.5,233,1.16E+00,2.21E-02,0.000890313,6.93E-03,2.45E-03,1.17E+00,2.45E-02
442.5,234,4.31E-01,4.76E-02,0.005702522,6.93E-03,2.45E-03,4.38E-01,5.01E-02
442.5,235,4.82E-01,7.07E-02,0.00780655,6.93E-03,2.45E-03,4.89E-01,7.32E-02
442.5,236,9.71E-01,6.74E-02,0.00334862,6.93E-03,2.45E-03,9.78E-01,6.98E-02
442.5,237,6.59E-01,7.94E-02,0.00633755,6.93E-03,2.45E-03,6.66E-01,8.19E-02
442.5,238,2.68E-01,4.34E-02,0.008758297,6.93E-03,2.45E-03,2.75E-01,4.59E-02
442.5,239,3.87E-01,2.67E-02,0.003510958,6.93E-03,2.45E-03,3.94E-01,2.91E-02
442.5,240,2.86E-01,1.78E-02,0.003271907,6.93E-03,2.45E-03,2.93E-01,2.03E-02
442.5,241,1.23E-01,1.10E-02,0.005030888,6.93E-03,2.45E-03,1.30E-01,1.35E-02
442.5,242,4.67E-01,2.68E-02,0.002829297,6.93E-03,2.45E-03,4.73E-01,2.92E-02
442.5,243,4.48E-01,1.46E-02,0.001636749,6.93E-03,2.45E-03,4.55E-01,1.70E-02
442.5,244,1.55E-01,3.96E-03,0.00179304,6.93E-03,2.45E-03,1.62E-01,6.42E-03
442.5,245,6.20E-01,8.16E-02,0.006869127,6.93E-03,2.45E-03,6.27E-01,8.40E-02
442.5,246,3.61E-01,2.73E-02,0.003835634,6.93E-03,2.45E-03,3.68E-01,2.97E-02
442.5,247,3.45E+00,2.29E-01,0.003092858,6.93E-03,2.45E-03,3.46E+00,2.32E-01
442.5,248,2.17E-01,1.43E-02,0.003526874,6.93E-03,2.45E-03,2.24E-01,1.68E-02
442.5,249,1.94E-01,1.29E-02,0.003600085,6.93E-03,2.45E-03,2.01E-01,1.53E-02
442.5,250,2.09E-01,1.60E-02,0.004061634,6.93E-03,2.45E-03,2.16E-01,1.85E-02
442.5,251,5.91E-01,4.67E-02,0.003923169,6.93E-03,2.45E-03,5.98E-01,4.91E-02
442.5,252,1.14E+00,4.11E-02,0.001641206,6.93E-03,2.45E-03,1.15E+00,4.35E-02
442.5,253,4.98E-02,2.35E-03,0.003972507,6.93E-03,2.45E-03,5.68E-02,4.80E-03
442.5,254,1.26E-01,8.31E-03,0.003814944,6.93E-03,2.45E-03,1.33E-01,1.08E-02
442.5,255,1.78E+00,3.50E-01,0.010674522,6.93E-03,2.45E-03,1.79E+00,3.52E-01
442.5,256,4.26E-01,3.20E-02,0.003775155,6.93E-03,2.45E-03,4.33E-01,3.45E-02
442.5,257,1.91E-01,1.49E-02,0.004185775,6.93E-03,2.45E-03,1.98E-01,1.73E-02
442.5,258,2.74E-01,2.69E-02,0.005104099,6.93E-03,2.45E-03,2.81E-01,2.93E-02
